Column1;Column2;Column3;Column4;Column5
r�sultats;results;-;0.900000 0.750000;9
Prends;Sit;-;0.098901 0.034749;9
Linda;Linda loves;-;0.097826 0.562500;9
ses;him;-;0.034615 0.003498;9
sang-froid;Stay calm;-;0.169811 0.450000;9
dernier;moment;-;0.088235 0.138462;9
occasions;several occasions;-;0.214286 0.321429;9
rencontr�e;met her;-;0.061224 0.600000;9
de;much;-;0.001106 0.026786;9
pourrions;sun;-;0.375000 0.028391;9
feu rouge;red;-;0.600000 0.002302;9
demande pourquoi;wonder why;-;0.750000 0.818182;9
j';'ve;-;0.028754 0.038462;9
la .;.;-;0.900000 0.000011;9
ce matin;this morning;-;0.692308 0.375000;9
,;, he;-;0.000474 0.346154;9
esprit;Reading;-;0.169811 0.243243;9
or;golden;-;0.107143 0.818182;9
vit;lives inside;-;0.138462 0.500000;9
Se porte-t;Is;-;0.473684 0.028481;9
cuisine japonaise;Japanese;-;0.333333 0.019912;9
cuire;boil;-;0.360000 0.118421;9
cheveux mouill�s;hair;-;0.346154 0.013139;9
th�orie;Theoretically;-;0.120000 0.346154;9
M. Smith;Mr Smith;-;0.642857 0.290323;9
graisse;fat located;-;0.310345 1.000000;9
Aimes;cooking;-;0.243243 0.025070;9
, et;,;-;0.346154 0.000470;9
vois;ahead;-;0.115385 0.333333;9
Nancy;Does Nancy;-;0.042453 0.818182;9
il;What;-;0.003134 0.006955;9
probl�mes;trouble;-;0.108434 0.072581;9
fera;harm;-;0.300000 0.200000;9
conscience;realize;-;0.562500 0.473684;9
souhaiteras;wish;-;0.600000 0.036585;9
entendent;along;-;0.473684 0.123288;9
chapeau;hat becomes;-;0.010045 0.900000;9
all�es;theater;-;1.000000 0.145161;9
sortie;breath;-;0.290323 0.236842;9
travailleurs;hard-working;-;0.290323 0.200000;9
l�verai;signal;-;1.000000 0.529412;9
posa;put;-;0.333333 0.026946;9
au;he;-;0.011921 0.004182;9
tortue affaiblie;turtle;-;0.562500 0.166667;9
petit gar�on;boy;-;1.000000 0.005625;9
Jus;Orange;-;1.000000 0.900000;9
crus;raw;-;1.000000 0.090000;9
chapeau rouge;red hat;-;0.900000 1.000000;9
As;anything;-;0.047872 0.028846;9
nous �claboussa;dashed us;-;1.000000 0.600000;9
�tais habitu�;used;-;0.692308 0.065693;9
beurre;piece;-;0.016187 0.046875;9
s';it;-;0.018557 0.003825;9
expliqu�;somewhat explained;-;0.109756 1.000000;9
g�t�e;gone;-;0.600000 0.104651;9
garnie;purse;-;1.000000 0.204545;9
Qu' aimez;What;-;0.818182 0.006955;9
fallu;took;-;0.562500 0.071429;9
approchait;approaching;-;1.000000 0.529412;9
bonheur;Happiness;-;0.058824 0.818182;9
bien;he;-;0.002273 0.004182;9
pepperoni;pepperoni;-;1.000000 0.818182;9
quarts;three-fourths;-;0.562500 0.562500;9
humblement;humbly;-;1.000000 1.000000;9
inn�;innate;-;1.000000 1.000000;9
constituent;remedies;-;1.000000 1.000000;9
rhumes;remedy;-;1.000000 1.000000;9
douter;guessed;-;1.000000 1.000000;9
appareil-photo;camera;-;0.473684 0.003495;9
passa;property;-;0.360000 0.692308;9
avec lui;him;-;0.692308 0.003498;9
arr�t�;quit smoking;-;0.026012 0.157895;9
optionnelle;elective;-;1.000000 1.000000;9
chaperon;Hood;-;0.818182 1.000000;9
r�mun�r�;better-paying;-;1.000000 1.000000;9
Saito;Saito;-;0.818182 0.500000;9
Naomi;Naomi;-;1.000000 0.900000;9
infid�lit�s;philandering;-;1.000000 1.000000;9
fracass�;bashed;-;0.321429 1.000000;9
pavillon;clubhouse;-;1.000000 1.000000;9
�gout;sewage;-;0.818182 1.000000;9
k�ros�ne;kerosene;-;1.000000 1.000000;9
casseroles;pots;-;1.000000 1.000000;9
d�vastateur;devastating;-;1.000000 1.000000;9
Sakiko;Sakiko;-;1.000000 1.000000;9
ragot;whistle;-;1.000000 1.000000;9
miracle;miracle;-;1.000000 1.000000;9
James;James;-;1.000000 1.000000;9
vessie;bladder;-;1.000000 1.000000;9
payent comptant;virtue;-;1.000000 0.900000;9
afflux;continuous;-;1.000000 0.529412;9
alpiniste;mountaineer;-;1.000000 0.562500;9
molaire;molar;-;0.642857 1.000000;9
inqui�tudes;anxieties;-;1.000000 1.000000;9
criait;hunger;-;0.375000 0.187500;9
mangeant;talked;-;0.346154 0.130435;9
malheur;poison;-;0.310345 0.300000;9
ni�;denied having;-;0.094737 0.346154;9
p�n�trer;enter;-;0.310345 0.040909;9
jet;within;-;0.473684 0.360000;9
13 bougies;thirteen candles;-;0.818182 0.750000;9
domestique;servant;-;0.281250 0.105882;9
nettoyer;cleaned;-;0.023622 0.130435;9
personnes sympathiques;nice people;-;0.750000 0.900000;9
aussi;as well;-;0.029032 0.600000;9
cass�e;broke;-;0.209302 0.071429;9
tuer;skip;-;0.103448 0.272727;9
japonaise;dishes;-;0.041284 0.044776;9
aurais;wish;-;0.116883 0.036585;9
je suis;I;-;0.310345 0.000508;9
radio;X-ray;-;0.021226 1.000000;9
allant;way;-;0.310345 0.030928;9
Elle;She made;-;0.000239 1.000000;9
s�parer;part;-;0.642857 0.147541;9
Mayuko;Mayuko eats;-;0.023018 0.600000;9
confiance;rely;-;0.015306 0.281250;9
esp�re bien;hope so;-;1.000000 0.321429;9
revoir;reviewing;-;0.225000 1.000000;9
papier;sheet;-;0.023747 0.086538;9
souffrent;suffering;-;0.500000 0.183673;9
choix;otherwise;-;0.025937 0.360000;9
une;on;-;0.002205 0.003455;9
�a tombe;fortunate;-;1.000000 0.102273;9
C' est;It 's;-;0.058065 0.069231;9
habill�;dressed;-;0.128571 0.065693;9
aveugle;tells;-;0.360000 0.195652;9
vous;.;-;0.002515 0.000011;9
est le;is the;-;0.236842 0.101124;9
noisettes;coffees;-;0.818182 0.183673;9
chute;Ever;-;0.409091 0.562500;9
avec un;with;-;0.600000 0.002291;9
la;as;-;0.001251 0.016364;9
pas;have n't;-;0.000984 0.600000;9
poss�de;shop;-;0.257143 0.136364;9
qu' il;'s;-;0.026706 0.005354;9
lui .;.;-;0.346154 0.000011;9
�;had;-;0.001914 0.013636;9
visage;Your face;-;0.040359 0.500000;9
trouva;found;-;0.529412 0.038793;9
re�oit;gets sunshine;-;0.123288 0.375000;9
les;out;-;0.008902 0.025496;9
jeter;throw;-;0.600000 0.333333;9
vieille femme;old woman;-;0.642857 0.692308;9
bois;touch;-;0.050847 0.082569;9
mangeant;noises;-;0.346154 0.428571;9
de;make;-;0.001106 0.019956;9
Quelle;material;-;0.130435 0.230769;9
science;Science;-;0.176471 0.500000;9
veste;fit;-;0.057325 0.180000;9
�tat;Leave;-;0.600000 0.081081;9
Bon;goodness;-;0.900000 0.191489;9
sympas;fortunate;-;1.000000 0.102273;9
malin;clever;-;0.346154 0.409091;9
poisson-pommes;chips;-;1.000000 0.257143;9
rampa;crept toward;-;0.409091 0.600000;9
semblerait;restrain;-;1.000000 0.500000;9
Conduisez;Drive;-;0.360000 0.900000;9
d�but;At;-;0.195652 0.200000;9
amus�;enjoy;-;0.053571 0.136364;9
bougie �clairait;lighted;-;0.126761 1.000000;9
cons;jerk;-;1.000000 1.000000;9
triple;triple;-;1.000000 0.529412;9
gosse;kid;-;0.900000 0.428571;9
retenue;constraint;-;0.529412 0.750000;9
d�prim�;depressed;-;1.000000 1.000000;9
mortels;mortal;-;1.000000 1.000000;9
Arabie;Arabia;-;1.000000 1.000000;9
dans l';the;-;0.500000 0.000726;9
produit;occur;-;0.086538 0.600000;9
- vous;?;-;0.039301 0.000084;9
il;anything;-;0.003134 0.028846;9
habituer;foreigners;-;0.750000 0.089109;9
droit;Everyone;-;0.204545 0.166667;9
disposes;conditioner;-;1.000000 0.103448;9
pour;he;-;0.002425 0.004182;9
procure;sun gives;-;0.136364 0.750000;9
bl�;grow wheat;-;0.032847 1.000000;9
r�cemment;recently given;-;0.042857 0.450000;9
sais;anymore;-;0.031034 0.195652;9
surprit;surprised;-;0.818182 0.082569;9
fil;telephoning;-;0.173077 0.529412;9
tremp�e;wet through;-;0.500000 0.180000;9
visage rond;round;-;0.138462 0.076271;9
commence;getting;-;0.123288 0.118421;9
compagnon habituel;usual companion;-;0.600000 1.000000;9
.;way .;-;0.000011 0.692308;9
de;Do;-;0.001106 0.011407;9
faim;am hungry;-;0.005562 0.562500;9
aucune diff�rence;difference;-;0.818182 0.023684;9
s';to;-;0.018557 0.001020;9
,;be;-;0.000474 0.008072;9
coupa;divided;-;0.120000 0.152542;9
consid�r�;consideration;-;0.136364 0.290323;9
non-alcoolis�e;non-alcoholic;-;0.333333 0.180000;9
stupides;silly thoughts;-;0.450000 0.500000;9
peuple;:;-;0.243243 0.010830;9
grasse;fat diet;-;0.391304 0.562500;9
en;are;-;0.004414 0.006647;9
nos d�penses;expenses;-;0.818182 0.088235;9
�tudie-t;studies;-;1.000000 0.098901;9
tu;How;-;0.002985 0.010638;9
Bien;Of course;-;0.045685 0.041284;9
passe;idles away;-;0.142857 1.000000;9
refaire;again;-;1.000000 0.073171;9
habitez;By;-;0.900000 0.063380;9
fait de;you;-;0.191489 0.001003;9
Elle s';She;-;1.000000 0.000237;9
terre;earth;-;0.391304 0.102273;9
aime;much;-;0.016698 0.026786;9
Voil� comment;how;-;1.000000 0.010251;9
tourn�;turned;-;0.100000 0.121622;9
.;'s .;-;0.000011 1.000000;9
me sens;feel fine;-;0.176471 0.272727;9
aussi;fast;-;0.029032 0.004418;9
caract�re;Apart;-;0.225000 0.225000;9
construire;construct;-;0.409091 0.562500;9
remarquable;Science;-;0.230769 0.500000;9
avec;my;-;0.002656 0.002380;9
application;harder;-;0.173077 0.160714;9
impatience;forward;-;0.562500 0.500000;9
mouill�e;wet;-;0.500000 0.058065;9
zoo;zoo;-;1.000000 1.000000;9
omnipuissant;omnipotent;-;1.000000 1.000000;9
Mochida;Mochida;-;1.000000 1.000000;9
cholest�rol;cholesterol;-;1.000000 1.000000;9
organis�e;well-organized;-;1.000000 1.000000;9
voiturier;valet;-;0.600000 1.000000;9
Arr�te;Stop pretending;-;0.121622 0.529412;9
pas;n't you;-;0.000984 0.428571;9
est;his;-;0.000699 0.004685;9
un;with a;-;0.001044 0.391304;9
navette spatiale;shuttle;-;0.500000 0.160714;9
agr�ment�;fringe benefits;-;0.409091 1.000000;9
appelons;Big Apple;-;0.692308 0.900000;9
lever t�t;up early;-;0.090000 0.473684;9
un;me a;-;0.001044 0.346154;9
s';has;-;0.018557 0.014925;9
retire-t;stains;-;0.750000 0.219512;9
dilapid�rent;ones;-;0.375000 0.750000;9
N' importe;Anybody;-;0.360000 0.236842;9
Fais;Spread;-;0.065693 0.818182;9
s' est;the;-;0.391304 0.000726;9
crue;raw;-;0.642857 0.090000;9
Es;ridden;-;0.160714 0.082569;9
pousser;growing;-;0.290323 0.360000;9
cesser;necessary;-;0.125000 0.045685;9
g�r�;badly;-;0.183673 0.346154;9
occuper;care;-;0.642857 0.040541;9
autrement;otherwise;-;0.391304 0.360000;9
sonna;Hardly;-;0.092784 0.900000;9
Mont Fuji;Mt. Fuji;-;1.000000 0.066176;9
chauff�e;heated;-;1.000000 0.409091;9
attend;hour;-;0.209302 0.084906;9
concentrer;concentrate single-mindedly;-;0.037975 1.000000;9
Les;of;-;0.027356 0.001992;9
me;for;-;0.006721 0.002414;9
un;more;-;0.001044 0.010124;9
rien;do;-;0.007323 0.002210;9
truc;doodad;-;0.214286 0.562500;9
identit�;I.D. card;-;0.079646 1.000000;9
sorti;saying;-;0.166667 0.204545;9
vous;will;-;0.002515 0.023316;9
vite;ran;-;0.004637 0.061644;9
d�poser;deposit;-;0.562500 0.116883;9
Pharamp coupa;Pharamp;-;0.281250 0.089109;9
rouet;spinning wheel;-;0.450000 1.000000;9
type;guy;-;0.191489 0.529412;9
avez;have;-;0.061644 0.003780;9
insuffisante;insufficient;-;0.900000 0.692308;9
patin;Skating;-;1.000000 0.818182;9
en;out;-;0.004414 0.025496;9
caressa merveilleusement;wonderful;-;0.642857 0.088235;9
horrible;terrible weather;-;0.111111 0.250000;9
qu';do;-;0.007217 0.002210;9
sa;a;-;0.012048 0.000662;9
dents;teething;-;0.019565 0.692308;9
ciel bleu;blue sky;-;0.391304 1.000000;9
entrer;let;-;0.049451 0.040724;9
tomb�e;broke;-;0.078261 0.071429;9
Nos;Our;-;1.000000 0.010651;9
J' ai;I 'm;-;0.008621 0.112500;9
suivi;following;-;0.600000 0.300000;9
coings;quinces thoroughly;-;0.500000 1.000000;9
go�t amer;tastes;-;0.209302 0.025496;9
semblent;seem;-;0.264706 0.219512;9
moche;terrible weather;-;0.180000 0.250000;9
tant;while;-;0.155172 0.079646;9
savais;guard;-;0.140625 0.529412;9
de;you have;-;0.001106 0.080357;9
�;met;-;0.001914 0.004144;9
remettre;hand;-;0.409091 0.023377;9
sugg�ra;proposed;-;0.310345 0.900000;9
s';on;-;0.018557 0.003455;9
Tu es;You;-;0.600000 0.001728;9
�a;this;-;0.034221 0.003719;9
vache;cow gives;-;0.094737 0.450000;9
foutre;fuck;-;0.103448 0.642857;9
ai rencontr�;I met;-;0.109756 0.272727;9
est;be;-;0.000699 0.008072;9
trente-et-un;dress;-;0.900000 0.007126;9
distributeur;cash register;-;0.600000 0.346154;9
vient;comes;-;0.204545 0.300000;9
cherchent;seek;-;0.750000 0.900000;9
Aoi;Aoi dances;-;0.145161 0.073770;9
L';and;-;0.023077 0.000522;9
ce que;do;-;0.055556 0.002210;9
devrai;shall;-;0.450000 0.169811;9
mangiez;meals;-;0.562500 0.035714;9
asperge congel�e;asparagus;-;0.600000 0.600000;9
regrettait;regretted;-;0.900000 0.281250;9
personnelle;encounter;-;0.112500 0.818182;9
miles entiers;miles;-;0.692308 0.120000;9
serviette;towel;-;0.120000 0.360000;9
chips;chips;-;0.473684 0.257143;9
assure;pets;-;0.900000 0.333333;9
voudra;nobody;-;1.000000 0.360000;9
Ton visage;Your face;-;0.529412 0.500000;9
pour;,;-;0.002425 0.000470;9
barri�re;fence;-;0.818182 0.310345;9
parce qu';because;-;1.000000 0.009414;9
petit fr�re;brother;-;0.750000 0.002963;9
conduisais;driving;-;1.000000 0.123288;9
retraite;retreat;-;0.138462 0.529412;9
�tait;in;-;0.005226 0.001660;9
as;do;-;0.036585 0.002210;9
goutte;drop;-;0.692308 0.219512;9
se;a;-;0.014446 0.000662;9
J';I like;-;0.005780 0.333333;9
feriez mieux;better;-;0.750000 0.009667;9
j';'m;-;0.028754 0.011307;9
parlerai;talk;-;0.145161 0.071429;9
seul;only;-;0.031359 0.028939;9
d';be;-;0.004354 0.008072;9
une;had;-;0.002205 0.013636;9
hautbois;oboe repaired;-;0.157895 1.000000;9
merci;fine;-;0.037500 0.044118;9
gros;fat;-;0.125000 0.088235;9
coeur;beating;-;0.155172 0.160714;9
plut�t;instead;-;0.132353 0.169811;9
me;n't;-;0.006721 0.001000;9
Le;and;-;0.003474 0.000522;9
pour;for a;-;0.002425 0.243243;9
�;in the;-;0.001914 0.033708;9
Mr Saito;Saito;-;0.473684 0.500000;9
principale;gate;-;0.200000 0.321429;9
comptes;Start;-;0.346154 0.321429;9
�tranger;foreigner;-;0.060811 0.529412;9
Elle l';She;-;1.000000 0.000237;9
nous;, we;-;0.003947 0.642857;9
Il ne;He;-;0.600000 0.000576;9
promis;promise;-;0.041475 0.033088;9
mal;harm;-;0.027273 0.200000;9
vous;for;-;0.002515 0.002414;9
Aucun;ease;-;0.169811 0.160714;9
repas;lunch;-;0.010239 0.044118;9
et;the;-;0.000529 0.000726;9
�a .;.;-;0.900000 0.000011;9
graisse;located;-;0.310345 0.236842;9
expliqu�;explain;-;0.109756 0.195652;9
Leurs bovins;Their cattle;-;0.642857 1.000000;9
os;skin;-;0.140625 0.142857;9
passe;happens;-;0.142857 0.346154;9
d�j� mang�;already;-;0.562500 0.017176;9
panier rempli;basket;-;0.600000 0.011043;9
C';it;-;0.011250 0.003825;9
un autre;another;-;1.000000 0.031469;9
louer;rent;-;0.818182 0.200000;9
suis all�;went;-;1.000000 0.038462;9
base-ball;baseball;-;1.000000 0.045226;9
pas;on;-;0.000984 0.003455;9
aujourd'hui;Today;-;0.002150 0.049451;9
prendrais;glass;-;0.409091 0.005402;9
r�jouissait;sailing;-;0.500000 0.473684;9
faisait terriblement;terribly;-;1.000000 0.046875;9
la;him;-;0.001251 0.003498;9
y;on;-;0.005205 0.003455;9
je;could;-;0.004717 0.017176;9
ai;and;-;0.003028 0.000522;9
aujourd'hui .;today .;-;1.000000 0.818182;9
pas faire;do;-;0.428571 0.002210;9
d�bats;debates;-;1.000000 1.000000;9
alla;Having;-;0.236842 0.155172;9
j';,;-;0.028754 0.000470;9
,;can;-;0.000474 0.007916;9
assistance;refuse;-;0.562500 0.264706;9
Tout ce;All;-;0.900000 0.017375;9
buvez;drink;-;0.321429 0.011084;9
visit�;Okinawa;-;0.300000 0.209302;9
cr�dit;card;-;0.017308 0.030717;9
10;ten;-;0.360000 0.010357;9
cette;in;-;0.005405 0.001475;8
qu';as;-;0.006415 0.014545;8
rencontr�e accidentellement;accident;-;0.615385 0.009238;8
diffusent;news spread;-;0.470588 0.444444;8
vas;tonight;-;0.075472 0.020566;8
Maman;Mother laid;-;0.086957 0.727273;8
Cette;The;-;0.011096 0.001713;8
�;long;-;0.001701 0.019417;8
portent;both;-;0.347826 0.181818;8
Toutes;Whatever;-;0.307692 0.121212;8
demie;half;-;0.156863 0.044444;8
all�;donate;-;0.084211 0.470588;8
mobilier;furniture;-;0.888889 0.055944;8
heure;Time;-;0.048780 0.275862;8
vous ?;?;-;0.800000 0.000074;8
veux;want some;-;0.005025 0.615385;8
d';much;-;0.003870 0.023810;8
tue-t�te;lungs;-;1.000000 0.533333;8
galant;oaf;-;1.000000 1.000000;8
indiquait;indicated;-;1.000000 1.000000;8
raser;shaving;-;0.666667 0.800000;8
artificielles;artificial;-;1.000000 1.000000;8
crises;crisis;-;0.888889 0.285714;8
tournevis;screwdriver;-;1.000000 1.000000;8
obscurit�;Darkness;-;0.190476 1.000000;8
parasol;parasol;-;1.000000 1.000000;8
haricot;tits;-;1.000000 1.000000;8
fantaisie;divorce fantasy;-;0.320000 1.000000;8
empiffr�s;lunchtime;-;1.000000 0.800000;8
nu;stark;-;0.205128 0.800000;8
�mus;hard-hearted;-;1.000000 1.000000;8
�volu�e;advance;-;1.000000 0.307692;8
vient;just;-;0.181818 0.018735;8
passe-t;hours;-;0.800000 0.025806;8
pr�f�r�e;favorite subject;-;0.070796 0.363636;8
�nergique;energy;-;0.235294 0.055172;8
Barrichello;Barrichello drives;-;0.275862 0.363636;8
mariage;marriage;-;0.080808 1.000000;8
foutre;Get stuffed;-;0.091954 0.888889;8
pr�cieux;valuable;-;0.242424 0.242424;8
page;speed;-;0.109589 0.181818;8
fermer;lock;-;0.089888 0.235294;8
diff�rence;distinguish;-;0.020779 0.068966;8
souffrent;hunger;-;0.444444 0.166667;8
g�r�;managed;-;0.163265 0.115942;8
nous;a;-;0.003509 0.000589;8
lui;him to;-;0.003534 0.500000;8
Emportez;Take;-;0.800000 0.055556;8
on;in;-;0.028369 0.001475;8
savait;next;-;0.079208 0.045455;8
peut �tre;be;-;0.666667 0.007175;8
s';a;-;0.016495 0.000589;8
nourriture;eating;-;0.002635 0.027682;8
press�;hurry;-;0.235294 0.077670;8
tour;traveled;-;0.137931 0.307692;8
l�gers;thin;-;0.727273 0.275862;8
costume;suit cleaned;-;0.019048 1.000000;8
nombreuses sortes;many kinds;-;0.363636 0.888889;8
acide;tastes sour;-;0.086022 0.170213;8
vache donne;cow gives;-;0.571429 0.400000;8
que;up;-;0.002515 0.016807;8
on;about;-;0.028369 0.032000;8
Les;in;-;0.024316 0.001475;8
vraiment d�licieux;delicious;-;0.888889 0.020833;8
si j';if;-;1.000000 0.009217;8
temps;want;-;0.004606 0.004533;8
lavage;needs washing;-;0.210526 0.258065;8
sucre;Sugar dissolves;-;0.003044 0.200000;8
trop amer;too bitter;-;0.666667 1.000000;8
clefs;keys;-;1.000000 0.048193;8
y;,;-;0.004627 0.000418;8
dans;He;-;0.002380 0.000512;8
Je;not;-;0.000814 0.003218;8
arr�ter;stop smoking;-;0.021918 0.307692;8
n';It;-;0.004695 0.004981;8
faim;'m;-;0.004944 0.010050;8
dans;are;-;0.002380 0.005908;8
demanda pourquoi;wondered why;-;0.888889 0.258065;8
pr�sente;replying;-;1.000000 0.727273;8
recettes;recipes;-;1.000000 1.000000;8
majeure;mostly;-;1.000000 0.109589;8
commande;orders;-;0.727273 0.421053;8
volontiers;willingly;-;1.000000 0.888889;8
vid�o;video;-;0.888889 0.571429;8
v�tre;yours;-;1.000000 0.089888;8
mouiller;intention;-;0.363636 0.347826;8
de;will;-;0.000983 0.020725;8
bloqu�;locked;-;0.800000 0.086022;8
fermer;close;-;0.089888 0.170213;8
habite;lives inside;-;0.216216 0.444444;8
Sur;With;-;0.421053 0.156863;8
termin�;cleaning;-;0.101266 0.190476;8
qu';said;-;0.006415 0.012140;8
Que penses;think;-;0.800000 0.005935;8
r�ussis;understand;-;0.888889 0.035714;8
gr�;taste;-;0.205128 0.024465;8
Qu';done;-;0.013841 0.025316;8
�uf coque;boiled egg;-;0.800000 0.800000;8
odeur infestait;smell permeated;-;0.800000 0.888889;8
�pouse;fortunate;-;0.186047 0.090909;8
fille;girl entered;-;0.008163 0.888889;8
croquettes;dry;-;0.666667 0.102564;8
dissuad�;advised;-;0.275862 0.013605;8
de;made;-;0.000983 0.011396;8
a;as;-;0.003420 0.014545;8
�tatsuniens mangent;Americans;-;0.888889 0.063492;8
tennis;Playing tennis;-;0.008188 1.000000;8
amen�e;driven;-;0.347826 0.800000;8
seriez;Had;-;0.888889 0.421053;8
procure;Coffee;-;0.121212 0.123077;8
rossignol chantait;nightingale;-;0.800000 0.285714;8
garde-t;pet;-;0.888889 0.061069;8
ascenseur;lift;-;0.727273 0.051613;8
usine;factory produces;-;0.043716 0.800000;8
Pardonnez;forgive;-;0.186047 0.133333;8
Quoi;Regardless;-;0.400000 0.285714;8
venu;unwell;-;0.148148 0.333333;8
mal ici;pain here;-;1.000000 0.444444;8
n';There;-;0.004695 0.005658;8
progresse;nicely;-;0.727273 0.800000;8
conteste;biggest;-;0.666667 0.500000;8
carottes;carrots;-;1.000000 0.571429;8
�checs;plays chess;-;0.065041 0.888889;8
Connaissez;near;-;0.363636 0.111111;8
combat;drug acts;-;0.421053 0.800000;8
J�sus;Jesus hates;-;0.022663 1.000000;8
Faites bouillir;boil;-;0.727273 0.105263;8
allais mourir;die;-;0.888889 0.030769;8
faisais;making;-;0.421053 0.117647;8
Donc;anyone;-;0.421053 0.050000;8
lui a;him;-;1.000000 0.003109;8
Le;on;-;0.003088 0.003071;8
sur;put;-;0.004374 0.023952;8
sait jouer;play;-;0.666667 0.025806;8
D�barrasse;Clear off;-;0.125000 0.380952;8
trop;much;-;0.002004 0.023810;8
d�g�ts;mischief;-;0.727273 1.000000;8
dit;that;-;0.008466 0.003604;8
vais bien;'m fine;-;0.228571 0.347826;8
Le;'s;-;0.003088 0.004759;8
est un;a;-;0.200000 0.000589;8
dormis;slept;-;1.000000 0.045198;8
l�cher;rope;-;1.000000 0.059701;8
buvez;okay;-;0.285714 0.137931;8
admiration;everybody;-;0.307692 0.500000;8
avoir;good;-;0.004846 0.006216;8
me;have;-;0.005975 0.003360;8
vont;going;-;0.421053 0.029851;8
tremp�e;wet;-;0.444444 0.051613;8
Quelles;motive;-;0.222222 0.160000;8
t�l�;watching TV;-;0.030651 0.888889;8
finit;happily;-;0.078431 0.727273;8
�ufs;flour;-;0.023188 0.036866;8
valeur;brings;-;0.073394 0.307692;8
confectionn�e;baked;-;0.888889 0.043243;8
matins froids;mornings;-;1.000000 0.200000;8
tourner;Money;-;0.380952 0.470588;8
pr�t�;lend;-;0.156863 0.080000;8
Ma m�re;Mother;-;0.041237 0.040816;8
pas;had;-;0.000874 0.012121;8
jardin;small garden;-;0.019950 0.800000;8
oiseau;owl;-;0.001953 0.400000;8
go�t�;cooked;-;0.111111 0.195122;8
on;It;-;0.028369 0.004981;8
Elle;she;-;0.000212 0.002996;8
tu;can;-;0.002653 0.007036;8
nombreuses reprises;many times;-;0.258065 0.888889;8
inqui�tez;worry;-;0.571429 0.074074;8
l';will;-;0.003083 0.020725;8
il fait;he is;-;0.173913 0.444444;8
ces derniers;lately;-;1.000000 0.112676;8
on;one;-;0.028369 0.025890;8
conseilla;stop;-;0.046784 0.037209;8
boit;woman;-;0.028674 0.035088;8
obtenir;loan;-;0.285714 0.150943;8
nage rapidement;swims;-;1.000000 0.047904;8
cuivre conduit;Copper conducts;-;1.000000 0.347826;8
parfait;tastes;-;0.020000 0.022663;8
m';up;-;0.006499 0.016807;8
, j';,;-;0.615385 0.000418;8
peux;you;-;0.008122 0.000892;8
avoir un;a;-;0.444444 0.000589;8
dans;It;-;0.002380 0.004981;8
supporte;Milk;-;0.126984 0.082474;8
amicale;friendly nature;-;0.156863 0.320000;8
jusque;So;-;0.500000 0.093023;8
Monsieur;Mr;-;0.266667 0.033058;8
Excusez;happen;-;0.080000 0.190476;8
manger;to;-;0.003204 0.000907;8
partis;seat;-;0.888889 0.216216;8
strictement interdit;strictly prohibited;-;1.000000 0.380952;8
rendit;return;-;0.666667 0.095238;8
aie;row;-;0.320000 0.200000;8
un;this;-;0.000928 0.003306;8
Cet;That;-;0.177778 0.028470;8
fatigu�;sick;-;0.021858 0.066667;8
�l�ve;student;-;0.666667 0.061069;8
m�thode particuli�re;special;-;0.888889 0.285714;8
aie tort;indeed;-;0.800000 0.347826;8
informatique;Computer;-;0.571429 1.000000;8
Aimez;sports;-;0.258065 0.063492;8
hasard;train;-;0.059701 0.042781;8
Ils aiment;They love;-;0.800000 1.000000;8
du;He;-;0.006723 0.000512;8
bonne;Food;-;0.035398 0.250000;8
y;if;-;0.004627 0.009217;8
vous .;.;-;0.421053 0.000010;8
votre;you;-;0.012422 0.000892;8
vous;with;-;0.002235 0.002037;8
,;all;-;0.000422 0.010025;8
donna;herself;-;0.105263 0.111111;8
vas;hell;-;0.075472 0.296296;8
d';by;-;0.003870 0.010767;8
devais;everything;-;0.275862 0.033755;8
maux;headaches;-;0.307692 0.470588;8
Quel;Which;-;0.074074 0.105263;8
exprime;does speak;-;0.363636 0.571429;8
me sens;feel unwell;-;0.156863 0.296296;8
cas;In;-;0.003937 0.020779;8
J';at;-;0.005138 0.008909;8
th��tre;hit;-;0.125000 0.032922;8
passer;that;-;0.016701 0.003604;8
dedans;inside;-;0.571429 0.076923;8
paies;convenience;-;1.000000 0.571429;8
appel�mes;telephoned;-;1.000000 0.285714;8
lampe;lamp;-;0.347826 1.000000;8
cuit;cooked;-;0.140351 0.195122;8
cela;said;-;0.075472 0.012140;8
y;is;-;0.004627 0.000608;8
s� appelle;called;-;0.533333 0.059701;8
c�t�;puts aside;-;0.050314 0.571429;8
prie;again;-;0.041451 0.065041;8
que je;that;-;0.102564 0.003604;8
apprendre;teach;-;0.030534 0.065574;8
retour;traffic;-;0.727273 0.156863;8
miscibles;blend;-;0.380952 0.307692;8
peignez;paint;-;1.000000 0.079208;8
heure;bedtime;-;0.048780 0.666667;8
saisi;seized;-;0.129032 0.444444;8
meurent;starve;-;0.285714 0.242424;8
logiciels pirat�s;pirated software;-;0.363636 1.000000;8
plonger;soaking;-;0.200000 1.000000;8
rat;rat chewed;-;0.186047 1.000000;8
invite;whoever;-;0.160000 0.888889;8
diff�rentes;kinds;-;0.142857 0.075472;8
am�lioration;improvement;-;0.888889 0.800000;8
tant�t;sunset earlier;-;0.266667 1.000000;8
.;there .;-;0.000010 0.888889;8
sous;underwater;-;0.023256 0.210526;8
Personne;one;-;0.034043 0.025890;8
